"Reference","Value","Footprint","Sim.Device","Sim.Pins","数量"
"C1, C2","10u","$74th:Capacitor_0805_2012","","","2"
"C3, C4, C6, C8-C10, C12, C13","100n","$74th:Capacitor_0805_2012","","","8"
"C5, C7, C11","1u","$74th:Capacitor_0805_2012","","","3"
"CH1","M5 IR Unit","$74th:HY2.0_Socket_SMD_4Pin","","","1"
"CH2","SWD 1Wire & UART TX","74th:PinOut_4Pin","","","1"
"D1-D15","1N4148W","$sparrow62:D3_SMD_v2","D","1=K 2=A","15"
"D16-D30","SK6812MINI","$74th:YS-SK6812MINI-E-BACK-RIGHT","","","15"
"J1","Keyboard USB","$74th:USB-C-12-Pin-MidMount-ali-v5","","","1"
"J2","ESPProg-Port","$74th:BoxPinHeader_2x03_P1.27mm_Vertical","","","1"
"J3","ESPProg-Port","$74th:6Pin","","","1"
"R1","1","$74th:Register_0805_2012","","","1"
"R2","27","$74th:Register_0805_2012","","","1"
"R3, R4, R8, R9","10k","$74th:Register_0805_2012","","","4"
"R5","42k","$74th:Register_0805_2012","","","1"
"R6, R7","5.1k","$74th:Register_0805_2012","","","2"
"R10, R11","1k","$74th:Register_0805_2012","","","2"
"SW1-SW15","SW_Push","$sparrow62:Choc_1Side_1.0u","","","15"
"U1","joystick-b10k","$74th:JOYSTICK-B10K","","","1"
"U2","CH32V003F4P6","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","","","1"
"U3","Regulator_AMS117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","","","1"
"U4","CH9329","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","","","1"
"U5","CH217K","Package_TO_SOT_SMD:SOT-23-6","","","1"
"U6","ESP32-C3-WROOM-02","$74th-imported:ESP32-C3-WROOM-02","","","1"
